bg_dog_id,dog name,sex,call name,dna reg ,registrations,whelp date,deceased,sire,sire_id,dam,dam_id,litter id,litter id_id,stud book,frozen semen,data_source,last updated,registered_name,image_urls,image_paths,primary_image,microchip,coat_color,eye_color,bite,height,weight,tail,rescue type
149348,SOUTHWESTERN RANGER,Male,,V852235 (AKC),WS50655706 (AKC),"May 27, 2015",,,,,,43380.0,43380.0,,,AKC Website,6/8/2018 11:05:00 AM,SOUTHWESTERN RANGER,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
149529,WINDY ACRES BEAR NECESSITY OF LIFE,Male,BEAR,V817440 (AKC),WS51052303 (AKC),"Aug 16, 2015",,THEODORE BERNARD - TEDDY BEAR,149531.0,CALLIE RIVER SAGE,139435.0,43450.0,43450.0,,,Breeder/Owner,4/13/2025 1:08:00 PM,WINDY ACRES BEAR NECESSITY OF LIFE,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,Normal,Dark Brown,Scissor,,,Normal,
149568,FRIESIANS SOMEWHERE IN TIME,Female,ROWAN,V935733 (AKC),WS61082901 (AKC),"Jun 7, 2018",,BERNERBRUKETS YAHOO,120354.0,MÓKUSVÖLGYI URSULA,107151.0,43466.0,43466.0,,,Breeder/Owner,9/5/2023 11:07:00 PM,FRIESIANS SOMEWHERE IN TIME,https://bernergarde.org/DB/photos/Dog/BG149568-1.jpg|https://bernergarde.org/DB/photos/Dog/BG149568-1.jpg|https://bernergarde.org/DB/photos/Dog/BG149568-2.jpg|https://bernergarde.org/DB/photos/Dog/BG149568-3.jpg,output/images/dog_149568_0.jpg|output/images/dog_149568_1.jpg|output/images/dog_149568_2.jpg|output/images/dog_149568_3.jpg,output/images/dog_149568_0.jpg,985112 ...,Normal,Brown,Level,"23""",85 lbs,Normal,
149598,MALICLOY HEAR ME ROAR V BJORNS,"Male (neutered Oct 30, 2025)",ROARY,V10156105 (AKC),WS60903501 (AKC),"Apr 27, 2018",,MALICLOY NOW YOU SEE ME,133257.0,MEMORIES BJORNS LADY WILLOW,122964.0,43479.0,43479.0,,,BG Dog Submission,12/5/2025 9:23:00 PM,MALICLOY HEAR ME ROAR V BJORNS,https://bernergarde.org/DB/photos/Dog/BG149598-1.JPG|https://bernergarde.org/DB/photos/Dog/BG149598-1.JPG|https://bernergarde.org/DB/photos/Dog/35E6A898-E2BE-4718-BA8E-76A5675B9F8F.jpeg|https://bernergarde.org/DB/photos/Dog/BG149598-BISS.JPG|https://bernergarde.org/DB/photos/Dog/IMG_8187.jpeg,output/images/dog_149598_0.jpg|output/images/dog_149598_1.jpg|output/images/dog_149598_2.jpg|output/images/dog_149598_3.jpg|output/images/dog_149598_4.jpg,output/images/dog_149598_0.jpg,981020 ...,,,,,,,
149611,IKON IZ BOLSHOGO DOMA,Male,IKON,V871229 (AKC),"WS61544101 (AKC), RKF 5219260 (RKF)","Mar 16, 2018",,IVAR Z KRAINY ZEUSA,148805.0,ZHAKLIN IZ BOLSHOGO DOMA,149610.0,43489.0,43489.0,"Sep, 2020",Yes,Breeder/Owner,9/26/2025 8:52:00 PM,IKON IZ BOLSHOGO DOMA,https://bernergarde.org/DB/photos/Dog/BG149611-7.jpg|https://bernergarde.org/DB/photos/Dog/BG149611-7.jpg|https://bernergarde.org/DB/photos/Dog/BG149611-6.jpg|https://bernergarde.org/DB/photos/Dog/BG149611-5.jpg|https://bernergarde.org/DB/photos/Dog/BG149611-1.jpg,output/images/dog_149611_0.jpg|output/images/dog_149611_1.jpg|output/images/dog_149611_2.jpg|output/images/dog_149611_3.jpg|output/images/dog_149611_4.jpg,output/images/dog_149611_0.jpg,643094 ...,Normal,,,,,,
149884,VALKYRIE GRACIOUS GIFT V. STEADFAST,Female,GRACIE,V10168982 (AKC),WS61053501 (AKC),"May 19, 2018",,ADESA'S BEST IN WINTER,129442.0,STEADFAST CHIVAS REGALE,108846.0,43519.0,43519.0,,,BG Dog Submission,1/13/2026 11:22:00 AM,VALKYRIE GRACIOUS GIFT V. STEADFAST,https://bernergarde.org/DB/photos/Dog/BG149884-1.jpg|https://bernergarde.org/DB/photos/Dog/BG149884-1.jpg|https://bernergarde.org/DB/photos/Dog/BG149884-2.jpg,output/images/dog_149884_0.jpg|output/images/dog_149884_1.jpg|output/images/dog_149884_2.jpg,output/images/dog_149884_0.jpg,981020 ...,,,,,,,
150307,WASHINGTON FROST,Male,TANK,V886201 (AKC),"BCU 045-001900 (BCU), WS64174701 (AKC)","Dec 14, 2017",,DIZZY DAIQUIRI FROM BERNO MANIJA,149599.0,ALPEN FLOWER VIRGINIA,153809.0,43768.0,43768.0,,No,Breeder/Owner,4/17/2025 12:46:00 PM,WASHINGTON FROST,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,112069 ...,Normal,Dark Brown,Scissor,,96 lbs,Normal,
150718,BETHS ST MICHAEL OF NINEVEHBMD.COM,Male,MIKEY,V899934 (AKC),WS51098701 (AKC),"Jul 23, 2015","Jul 19, 2021",WH'Y'TE PAW OF NINEVEHBMD.COM,127981.0,BEASLEY (MRS.) OF NINEVEHBMD.COM,125742.0,43871.0,43871.0,,,Owner,11/12/2021 9:57:00 PM,BETHS ST MICHAEL OF NINEVEHBMD.COM,https://bernergarde.org/DB/photos/Dog/BG150718-2.jpeg|https://bernergarde.org/DB/photos/Dog/BG150718-2.jpeg|https://bernergarde.org/DB/photos/Dog/BG150718-1.jpg,output/images/dog_150718_0.jpg|output/images/dog_150718_1.jpg|output/images/dog_150718_2.jpg,output/images/dog_150718_0.jpg,956000 ...,Normal,Brown,Scissor,,130lbs,,
150733,AZHAR'S ON A ROLL,Female,SUSHI,,FL766595 (CKC),"Jun 18, 2018",,BELNOIS LOCKED N LOADED,108448.0,BRYLEI IZ BOLSHOGO DOMA,112169.0,43874.0,43874.0,,,BG Dog Submission,10/20/2018 10:54:00 PM,AZHAR'S ON A ROLL,https://bernergarde.org/DB/photos/Dog/BG150733-7.jpeg|https://bernergarde.org/DB/photos/Dog/BG150733-7.jpeg|https://bernergarde.org/DB/photos/Dog/BG150733-3.jpg|https://bernergarde.org/DB/photos/Dog/BG150733-8.jpeg|https://bernergarde.org/DB/photos/Dog/BG150733-6.jpeg,output/images/dog_150733_0.jpg|output/images/dog_150733_1.jpg|output/images/dog_150733_2.jpg|output/images/dog_150733_3.jpg|output/images/dog_150733_4.jpg,output/images/dog_150733_0.jpg,982126 ...,Normal,Dark Brown,Scissor,,,Normal,
150865,AMELIA'S VANDER BRAVEHEART,Male,,,WS50073702 (AKC),"Apr 14, 2015",,BRAVEHEART Z KRAINY ZEUSA,79611.0,BURNING BUSH FOURTH IN COMMAND,119911.0,43903.0,43903.0,,,AKC Website,8/23/2018 1:37:00 PM,AMELIA'S VANDER BRAVEHEART,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
150888,QUITO CODELI GIRLS,Male,,,"1134028 (CKC),  (CMKU)","Jul 22, 2016",,CAMERON CODELI GIRLS,83641.0,INDY VAN 'T STOKERYBOS,80691.0,43920.0,43920.0,,,CKC Stud Book,8/24/2018 9:28:00 PM,QUITO CODELI GIRLS,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
151334,SUDERMANN'S PUPPY TOWN NIKKA,Female,,,DU683835 (CKC),"Oct 6, 2016",,SEIBEL'S PUPPY TOWN MISCHA,127287.0,SEIBEL'S PUPPY TOWN KELLY,95034.0,44021.0,44021.0,,,CKC Stud Book,8/28/2018 5:15:00 PM,SUDERMANN'S PUPPY TOWN NIKKA,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
151694,RELENTLESS RACY RULES,Female,RACY,V921908 (AKC),WS61483103 (AKC),"Jul 1, 2018",,OLIVER VAN'T STOKERYBOS,129464.0,RELENTLESS REKA RULES,108051.0,44084.0,44084.0,,,BG Dog Submission,6/8/2020 8:17:00 PM,RELENTLESS RACY RULES,https://bernergarde.org/DB/photos/Dog/BG151694-3.JPG|https://bernergarde.org/DB/photos/Dog/BG151694-3.JPG|https://bernergarde.org/DB/photos/Dog/BG151694-2.jpg|https://bernergarde.org/DB/photos/Dog/BG151694-1.jpg|https://bernergarde.org/DB/photos/Dog/BG151694-4.jpg,output/images/dog_151694_0.jpg|output/images/dog_151694_1.jpg|output/images/dog_151694_2.jpg|output/images/dog_151694_3.jpg|output/images/dog_151694_4.jpg,output/images/dog_151694_0.jpg,985112 ...,,,,,,,
152024,WINTERGREEN'S EVERY SAILOR'S DREAM,Male,SCHOONER,V875537 (AKC),WS61790101 (AKC),"Jul 13, 2018",,SUPER MINI MACCIE VOM RUMMELSBACH,124713.0,BLACKROCK SMOOTH SAILING TO WINTERGREEN,130045.0,43719.0,43719.0,"Aug, 2020",Yes,Breeder/Owner,9/14/2025 8:07:00 PM,WINTERGREEN'S EVERY SAILOR'S DREAM,https://bernergarde.org/DB/photos/Dog/BG152024-6.jpg|https://bernergarde.org/DB/photos/Dog/BG152024-6.jpg|https://bernergarde.org/DB/photos/Dog/BG152024-5.jpg|https://bernergarde.org/DB/photos/Dog/BG152024-1.JPG|https://bernergarde.org/DB/photos/Dog/BG152024-4.jpg,output/images/dog_152024_0.jpg|output/images/dog_152024_1.jpg|output/images/dog_152024_2.jpg|output/images/dog_152024_3.jpg|output/images/dog_152024_4.jpg,output/images/dog_152024_0.jpg,985113 ...,Normal,Dark Brown,Scissor,,,Normal,
152116,SANDYLANE OLIVE 2ND,Female,,,EJ705421 (CKC),"May 16, 2017",,SNOWBIZ KAIN,110950.0,HELVETICA NYSSA,120643.0,44235.0,44235.0,,,CKC Stud Book,9/12/2018 10:21:00 PM,SANDYLANE OLIVE 2ND,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
152120,SANDYLANE HEMLOCK,Male,,,EJ705425 (CKC),"May 16, 2017",,SNOWBIZ KAIN,110950.0,HELVETICA NYSSA,120643.0,44235.0,44235.0,,,CKC Stud Book,9/12/2018 10:23:00 PM,SANDYLANE HEMLOCK,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
152671,TOLLHAUS IT'S HARD TO BE HUMBLE,Male,DAVIS,V876161 (AKC),WS61747901 (AKC),"Jul 2, 2018",,TALLPINE'S IT'S GOT A HEMI IN IT,127102.0,TOLLHAUS AMAZING GRACE,124002.0,44346.0,44346.0,,,Breeder/Owner,7/11/2025 4:47:00 PM,TOLLHAUS IT'S HARD TO BE HUMBLE,https://bernergarde.org/DB/photos/Dog/BG152671-2.jpg|https://bernergarde.org/DB/photos/Dog/BG152671-2.jpg|https://bernergarde.org/DB/photos/Dog/BG152671-1.jpg,output/images/dog_152671_0.jpg|output/images/dog_152671_1.jpg|output/images/dog_152671_2.jpg,output/images/dog_152671_0.jpg,985112 ...,Normal,Brown,Scissor,,,Normal,
152970,PRAIRIEGEMS BOOMKANANI IRAWARU,"Male (neutered Nov 21, 2024)",IRA,,"FL767003 (CKC), WS81231301 (AKC)","Jun 12, 2018",,LAVENDER HILLS SUMMER IN THE CITY,87343.0,ALPENSPIRIT SWEET CHARLEE BROWN,143600.0,44431.0,44431.0,,Yes,BG Dog Submission,9/10/2025 6:25:00 PM,PRAIRIEGEMS BOOMKANANI IRAWARU,https://bernergarde.org/DB/photos/Dog/BG152970-2.jpg|https://bernergarde.org/DB/photos/Dog/BG152970-2.jpg|https://bernergarde.org/DB/photos/Dog/BG152970-1.jpg|https://bernergarde.org/DB/photos/Dog/BG152970-3.jpg|https://bernergarde.org/DB/photos/Dog/BG152970-4.jpeg,output/images/dog_152970_0.jpg|output/images/dog_152970_1.jpg|output/images/dog_152970_2.jpg|output/images/dog_152970_3.jpg|output/images/dog_152970_4.jpg,output/images/dog_152970_0.jpg,952000 ...,Normal,Dark Brown,Scissor,,,Normal,
153007,HIGH COUNTRY MAJOR,Male,,,WS52100606 (AKC),,,,,,,,,,,BG Dog Submission,10/16/2018 10:41:00 PM,HIGH COUNTRY MAJOR,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153008,HIGH COUNTRY LUCINDA,Female,,,WS51133601 (AKC),,,,,,,,,,,BG Dog Submission,10/16/2018 10:42:00 PM,HIGH COUNTRY LUCINDA,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153064,HYPEAK'S JIM BOB,Male,,,KC (KC),"Mar 11, 2018",,AMYANDAS VINDICATOR,131754.0,ROCKPEAK'S STARLIGHT GIRL,118295.0,44457.0,44457.0,,,GB KC Breed Record Supplement,10/19/2018 3:14:00 PM,HYPEAK'S JIM BOB,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153107,CEGSHE DORIAN,Female,,,KC (KC),"May 24, 2018",,MAHRIANSKY TOP GUN,99489.0,CEGSHE FALSETTO,115425.0,44464.0,44464.0,,,GB KC Breed Record Supplement,10/19/2018 4:18:00 PM,CEGSHE DORIAN,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153200,POWDER KEG FARM'S MIDNIGHT SEERESS,Female,MAISRI,V962607 (AKC),WS61824701 (AKC),"Jul 17, 2018",,OLIVER VAN'T STOKERYBOS,129464.0,POWDER KEG FARM'S MIDNIGHT SNOW,127789.0,44491.0,44491.0,,,BG Dog Submission,8/26/2020 6:00:00 PM,POWDER KEG FARM'S MIDNIGHT SEERESS,https://bernergarde.org/DB/photos/Dog/BG153200-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153200-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153200-2.jpg,output/images/dog_153200_0.jpg|output/images/dog_153200_1.jpg|output/images/dog_153200_2.jpg,output/images/dog_153200_0.jpg,,Normal,Dark Brown,Level,,90 lbs,Normal,
153260,OCTOBER'S MILLION DOLLAR BABY,Female,MILLIE,,WS48420001 (AKC),"Jul 7, 2014",,ADESA'S BEST IN SNOW,99921.0,OCTOBER'S VIVACIOUS VV DIVA,84328.0,44516.0,44516.0,"Feb, 2019",,Breeder/Owner,10/15/2025 9:50:00 PM,OCTOBER'S MILLION DOLLAR BABY,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,981120 ...,Normal,Dark Brown,Scissor,"26""",,Normal,
153265,GLENMEGAN'S XCELLENT ADVENTURE,Female,PHRYNE,,WS62256201 (AKC),"Aug 29, 2018",,MOUNT MAGIC'S QUEST FOR FIRE,95869.0,GLENMEGAN'S MADE YOU LOOK,106136.0,44523.0,44523.0,,,BG Litter Submission,11/5/2018 5:51:00 PM,GLENMEGAN'S XCELLENT ADVENTURE,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,985112 ...,Normal,Brown,Scissor,,,Normal,
153392,VENTURE'S LUXURY EDITION FROM STONEHILL,Female,DENALI,V875805 (AKC),WS61094701 (AKC),"May 17, 2018",,VENTURE ON WITH STONEHILL AND HIGHLANDS,108015.0,STONEHILL'S CRYSTAL U-R UNSTOPPABLE,119846.0,44562.0,44562.0,,,BG Dog Submission,5/18/2019 3:11:00 AM,VENTURE'S LUXURY EDITION FROM STONEHILL,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,Normal,Dark Brown,Scissor,,,Normal,
153510,MALOLGI BAMBI BOO,Female,,,KC (KC),"Apr 25, 2018",,KENQUINCE BET ON ME,126583.0,PISTYLLUCHAF KATHY,140347.0,44582.0,44582.0,,,GB KC Breed Record Supplement,11/16/2018 5:19:00 PM,MALOLGI BAMBI BOO,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153551,GAWENDOWO POD LIPA IKAR,Male,,,"PKR.II-152649 (ZKWP), KC (KC)","Jul 6, 2021",,GARET PASTERSKA SFORA,204716.0,IZOLDA Z BELWEDERU,211948.0,62718.0,62718.0,,,GB KC Breed Record Supplement,3/30/2023 6:48:00 PM,GAWENDOWO POD LIPA IKAR,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153558,NUMBER ONE PRIDE OF JUSTIN WITH KINGSTONSKA,Female,,,"UKU.0305038 (UKU), KC (KC)","Jan 1, 2017",,ELENBERNER BOMOND,138438.0,DIAMOND ADELE PRIDE OF JUSTIN,139663.0,40869.0,40869.0,,,GB KC Breed Record Supplement,7/26/2021 2:24:00 PM,NUMBER ONE PRIDE OF JUSTIN WITH KINGSTONSKA,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153643,NASTURTA DUOK LABAS,Female,NASTURTE,,LSVK BS 1858/16 (LKD),"Dec 12, 2015",,ARMANI ROJAUS BERNAS,130445.0,ESHLI EXACTA DUOK LABAS,153125.0,44615.0,44615.0,,,BG Dog Submission,11/22/2018 2:24:00 PM,NASTURTA DUOK LABAS,https://bernergarde.org/DB/photos/Dog/BG153643-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153643-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153643-2.jpg,output/images/dog_153643_0.jpg|output/images/dog_153643_1.jpg|output/images/dog_153643_2.jpg,output/images/dog_153643_0.jpg,900182 ...,Normal,Dark Brown,Scissor,62 cm,47 kg,Normal,
153671,HOT DOG,Male,,,WS50616403 (AKC),"Apr 26, 2015",,CHIEF OF SHADY HILL,153670.0,HIGHVIEW'S ROCK STAR,56761.0,44629.0,44629.0,"Dec, 2016",,AKC Stud Book,11/24/2018 7:11:00 PM,HOT DOG,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153726,SERENDIPITY GRAND SLAM,Male,HANK,V875181 (AKC),WS62516601 (AKC),"Oct 31, 2018",,SNOWBOUND'S CABANA BOY,88821.0,SERENDIPITY DREAMCHASER,127901.0,44653.0,44653.0,"Sep, 2022",Yes,Breeder/Owner,7/9/2024 8:08:00 PM,SERENDIPITY GRAND SLAM,https://bernergarde.org/DB/photos/Dog/BG153726-2.jpg|https://bernergarde.org/DB/photos/Dog/BG153726-2.jpg|https://bernergarde.org/DB/photos/Dog/BG153726-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153726-3.JPG,output/images/dog_153726_0.jpg|output/images/dog_153726_1.jpg|output/images/dog_153726_2.jpg|output/images/dog_153726_3.jpg,output/images/dog_153726_0.jpg,985 14 ...,Normal,Dark Brown,Scissor,26.5 in,110 lbs,Normal,
153727,HEIDI HAS EXPRESSION,Female,HEIDI,,WS54411703 (AKC),"Jul 7, 2016",,SUNRISE POUCH,112334.0,NINA BERNINA MARIA,132701.0,44655.0,44655.0,,,BG Dog Submission,4/23/2019 12:40:00 AM,HEIDI HAS EXPRESSION,https://bernergarde.org/DB/photos/Dog/BG153727-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153727-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153727-2.jpg,output/images/dog_153727_0.jpg|output/images/dog_153727_1.jpg|output/images/dog_153727_2.jpg,output/images/dog_153727_0.jpg,,,,,,,,
153790,DRIFTLESS ABRACADABRA,Male,PRESTO,V880239 (AKC),WS62201901 (AKC),"Aug 13, 2018",,TAPLACS INVINCIBLE VINNY,48100.0,DRIFTLESS DOUBLE HOT SHOT,123182.0,44678.0,44678.0,,,Breeder/Owner,7/15/2025 12:37:00 PM,DRIFTLESS ABRACADABRA,https://bernergarde.org/DB/photos/Dog/BG153790-2.jpg|https://bernergarde.org/DB/photos/Dog/BG153790-2.jpg|https://bernergarde.org/DB/photos/Dog/BG153790-1.jpg,output/images/dog_153790_0.jpg|output/images/dog_153790_1.jpg|output/images/dog_153790_2.jpg,output/images/dog_153790_0.jpg,,,,,,,,
153792,DRIFTLESS VICTORY LAP AT BROOKHILLS,Male,MACK,V883714 (AKC),WS62201903 (AKC),"Aug 13, 2018",,TAPLACS INVINCIBLE VINNY,48100.0,DRIFTLESS DOUBLE HOT SHOT,123182.0,44678.0,44678.0,,,BG Litter Submission,5/25/2019 9:06:00 AM,DRIFTLESS VICTORY LAP AT BROOKHILLS,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
153854,SCIURUS VALLIS ALIZ IN WUNDERLAND,Female,ALIZ,V920689 (AKC),"MET.BSH.734/18 (MEOE), WS63630201 (AKC)","Apr 22, 2018",,ELENBERNER BRAVO BARONELLO,136568.0,SCIURUS VALLIS ZENITH,147105.0,44696.0,44696.0,,,Breeder/Owner,4/22/2024 3:32:00 PM,SCIURUS VALLIS ALIZ IN WUNDERLAND,https://bernergarde.org/DB/photos/Dog/BG153854-6.jpg|https://bernergarde.org/DB/photos/Dog/BG153854-6.jpg|https://bernergarde.org/DB/photos/Dog/BG153854-5.jpg|https://bernergarde.org/DB/photos/Dog/BG153854-7.jpg|https://bernergarde.org/DB/photos/Dog/BG153854-1.jpg,output/images/dog_153854_0.jpg|output/images/dog_153854_1.jpg|output/images/dog_153854_2.jpg|output/images/dog_153854_3.jpg|output/images/dog_153854_4.jpg,output/images/dog_153854_0.jpg,900182 ...,,,,,,,
153958,BLACKWATER OH BOY WHAT A BEER,Male,BREW,V881956 (AKC),WS62992101 (AKC),"Oct 29, 2018","Mar 2, 2024",ADESA'S TIJUANA WINDFALL,138743.0,BLACKWATER MIRROR IMAGE,128607.0,44728.0,44728.0,,,BG Health Submission,3/2/2024 7:09:00 PM,BLACKWATER OH BOY WHAT A BEER,https://bernergarde.org/DB/photos/Dog/BG153958-1.jpg|https://bernergarde.org/DB/photos/Dog/BG153958-1.jpg,output/images/dog_153958_0.jpg|output/images/dog_153958_1.jpg,output/images/dog_153958_0.jpg,985112 ...,,,,,,,
153978,RANGER VAN'T STOKERYBOS,Male (neutered),RANGER,V884672 (AKC),WS62967001 (AKC),"Apr 20, 2018",,PRESLEY VAN'T STOKERYBOS,153979.0,PIPA VAN 'T STOKERYBOS,148787.0,44733.0,44733.0,,,Breeder/Owner,9/14/2025 8:07:00 PM,RANGER VAN'T STOKERYBOS,https://bernergarde.org/DB/photos/Dog/BG153978-5.jpg|https://bernergarde.org/DB/photos/Dog/BG153978-5.jpg|https://bernergarde.org/DB/photos/Dog/BG153978-4.jpg|https://bernergarde.org/DB/photos/Dog/BG153978-3.jpg|https://bernergarde.org/DB/photos/Dog/BG153978-2.jpg,output/images/dog_153978_0.jpg|output/images/dog_153978_1.jpg|output/images/dog_153978_2.jpg|output/images/dog_153978_3.jpg|output/images/dog_153978_4.jpg,output/images/dog_153978_0.jpg,,Normal,Dark Brown,Scissor,,100 lbs,Normal,
154067,PETROS MURPHY SUMMERTAZ,Male,MURPHY,,WS57796507 (AKC),"Jul 29, 2017",,RACKLEYS TAZ,155670.0,RACKLEYS SUMMER,130167.0,44765.0,44765.0,,No,BG Dog Submission,3/30/2024 7:14:00 AM,PETROS MURPHY SUMMERTAZ,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,Normal,Brown,Scissor,,78 lbs,Normal,
154080,INDYGO LESNA MAGIA,Male,INDYGO,V955038 (AKC),"FQ3968787 (CKC),  (ZKWP), WS64294103 (AKC)","Aug 26, 2018",,SENNENHUND ROSSII T. LOVE,148974.0,FLOWER LESNA MAGIA,131695.0,44772.0,44772.0,,,BG Dog Submission,1/12/2021 1:34:00 PM,INDYGO LESNA MAGIA,https://bernergarde.org/DB/photos/Dog/BG154080-1.jpg|https://bernergarde.org/DB/photos/Dog/BG154080-1.jpg|https://bernergarde.org/DB/photos/Dog/BG154080-2.jpg|https://bernergarde.org/DB/photos/Dog/BG154080-3.jpg,output/images/dog_154080_0.jpg|output/images/dog_154080_1.jpg|output/images/dog_154080_2.jpg|output/images/dog_154080_3.jpg,output/images/dog_154080_0.jpg,616093 ...,,,,,,,
154131,BUGZIERE'S QUINTESSENTIAL COLLABORATION-LIONHEART,Male,QUINTON,V877843 (AKC),WS62734203 (AKC),"Oct 14, 2018",,COPELAND'S ALLIED STRUCTURAL STEEL,110420.0,LIONHEART'S OOO LA LA,100374.0,44792.0,44792.0,,,Breeder/Owner,8/17/2025 3:14:00 PM,BUGZIERE'S QUINTESSENTIAL COLLABORATION-LIONHEART,https://bernergarde.org/DB/photos/Dog/BG154131-5.jpg|https://bernergarde.org/DB/photos/Dog/BG154131-5.jpg|https://bernergarde.org/DB/photos/Dog/BG154131-3.jpg|https://bernergarde.org/DB/photos/Dog/BG154131-1.jpg|https://bernergarde.org/DB/photos/Dog/BG154131-4.jpg,output/images/dog_154131_0.jpg|output/images/dog_154131_1.jpg|output/images/dog_154131_2.jpg|output/images/dog_154131_3.jpg|output/images/dog_154131_4.jpg,output/images/dog_154131_0.jpg,,Normal,Dark Brown,Scissor,,,Normal,
154329,GASPARI LINE RIHANNA,Female,,,"PKR.II-121941 (ZKWP), UR21996401 (UABR)","Apr 7, 2015",,SPLENDID THREE COLOR FABIANO GASPARI LINE,134692.0,TIGUANA STOPLANDIA,74816.0,40406.0,40406.0,,,Pedigree (Official),6/4/2020 7:41:00 PM,GASPARI LINE RIHANNA,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
154373,SWISS CHARM RAGNAR NORTHERN CHILLS,Male,RAGNAR,V909550 (AKC),WS61897102,"Jun 20, 2018",,KANDERSTEG'S JUST CHILLIN V ADESA,97065.0,SWISS CHARMS CHILL OF BLIZZARD BEACH,107867.0,44865.0,44865.0,"Apr, 2022",,Breeder/Owner,4/2/2024 12:21:00 PM,SWISS CHARM RAGNAR NORTHERN CHILLS,https://bernergarde.org/DB/photos/Dog/BG154373-7.jpg|https://bernergarde.org/DB/photos/Dog/BG154373-7.jpg|https://bernergarde.org/DB/photos/Dog/BG154373-6.jpg|https://bernergarde.org/DB/photos/Dog/BG154373-5.jpg|https://bernergarde.org/DB/photos/Dog/BG154373-1.jpg,output/images/dog_154373_0.jpg|output/images/dog_154373_1.jpg|output/images/dog_154373_2.jpg|output/images/dog_154373_3.jpg|output/images/dog_154373_4.jpg,output/images/dog_154373_0.jpg,982126 ...,Normal,Brown,Scissor,,,Normal,
154388,BERNESE BUDS CASTLE RAIDER,Male,RAIDER,,WS63018603,"Dec 14, 2018",,DOMINIC II,115969.0,MAJESTIC AMELIA,135514.0,44872.0,44872.0,,,BG Dog Submission,12/28/2023 7:20:00 PM,BERNESE BUDS CASTLE RAIDER,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
154415,VEVEY REBEL YELL,Female,AMY,,,"Feb 4, 2018",,TAPLACS INVINCIBLE VINNY,48100.0,VEVEY GUILTY AS SIN,121104.0,44884.0,44884.0,,,BG Litter Submission,1/23/2019 10:55:00 PM,VEVEY REBEL YELL,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,Dark Brown,Scissor,,,Kink,
154466,SUNSHINE'S CREAM OF THE CROP,Male,TEDDY,V870465 (AKC),WS59329403 (AKC),"Nov 27, 2017",,DRIFTLESS FLYING HIGH TO SUNSHINE,123183.0,SUNSHINE'S IRISH CREAM,115044.0,44913.0,44913.0,,No,Breeder/Owner,11/17/2025 1:54:00 AM,SUNSHINE'S CREAM OF THE CROP,https://bernergarde.org/DB/photos/Dog/BG154466-3.jpeg|https://bernergarde.org/DB/photos/Dog/BG154466-3.jpeg|https://bernergarde.org/DB/photos/Dog/BG154466-1.jpg|https://bernergarde.org/DB/photos/Dog/BG154466-2.jpg,output/images/dog_154466_0.jpg|output/images/dog_154466_1.jpg|output/images/dog_154466_2.jpg|output/images/dog_154466_3.jpg,output/images/dog_154466_0.jpg,991001 ...,Normal,Dark Brown,Scissor,27 in,125 lbs,Normal,
154497,JACKSON IX,Male,,,WS53617907 (AKC),"May 3, 2016",,DOMINIC II,115969.0,CIRCLE D GREEN MEADOWS BERNESE SWEET AS SUGAR,100705.0,40679.0,40679.0,,,AKC Website,1/27/2019 5:35:00 PM,JACKSON IX,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
